PID,C0unty Name,State,Area (sq miles),Total P0pulation,Population Density,popwhite,popblack,popamerindian,popasian,popother,percamerindan,Percentage Asian,percother,Population Over 18,perchsd,Percentage College,percprof,poppovertyknown,percpovertyknown,Percentage Below Poverty,percchildbelowpovert,percadultpoverty,percelderlypoverty,inmetro,category,Population per Sq Mile
571,christian ,IL,0.042,34418,819.47619,34176,82,51,89,20,0.14817828,0.25858562,0.05810913,22945,73.074744,13.567226,3.08999782,33788,98.1695624,11.7082988,16.3206125,9.56969969,11.4906408,0,AAR,819476.19047619
2021,cl3rmont,OH,0.026,150187,5776.42308,148084,1291,218,453,141,0.14515238,0.30162398,0.09388296,91613,72.7833386,19.6893454,4.5528473,148417,98.8214692,8.69374802,11.9078721,7.0066905,9.0945467,1,AAU,5776423.07692308
2020,clark,OH,0.024,147548,6147.83333,133242,13031,294,653,328,0.19925719,0.44256784,0.22230054,93950,73.360298,17.784992,4.60883449,143046,96.9487895,13.4166632,20.4814416,11.095735,10.4346131,1,AAU,6147833.33333333
2990,clark,Wisconsin,0.072,31647,439.541667,31437,29,91,38,52,0.287547,0.12007457,NA,19702,67.5362907,13.84631,2.50228403,30947,97.7881,13.7719327,18.0444728,11.4184117,13.0776485,0,LAR,439541.666666667
573,clay,IL,0.028,14460,516.428571,14403,4,17,29,7,0.1175657,0.20055325,0.04840941,9647,65.5644242,13.6830103,2.78843164,14248,98.5338866,16.7742841,20.5825776,14.4641142,17.6700783,0,LAR,516428.571428571
673,clay,IN,0.021,24705,1176.42857,24522,113,41,15,14,0.16595831,0.06071645,0.05666869,16197,75.884423,14.1137248,4.29709205,24343,98.5347096,11.8432404,15.1636813,9.70500549,12.9662175,1,AAU,1176428.57142857
674,clint0n,IN,0.023,30974,1346.69565,30657,36,51,61,169,0.16465423,0.19693937,0.54561891,19875,76.1610063,16.045283,4.5081761,30143,97.3171047,9.4051687,11.7393903,7.80756609,10.5207037,1,AAU,1346695.65217391
1215,clint0n,MI,0.034,57883,1702.44118,56639,218,276,199,551,0.47682394,0.34379697,0.95192025,35745,83.6844314,22.8647363,4.94614631,57463,99.2743984,6.01778536,7.36650485,4.98168716,7.71621622,1,HLU,1702441.17647059
2022,clint0n,OH,0.024,35415,1475.625,34471,716,59,138,31,0.16659608,0.3896654,0.08753353,21969,74.3320133,15.7631208,3.77349902,34521,97.4756459,12.2505142,14.7371682,10.6142298,13.4121622,0,AAR,1475625
574,clinton,IL,0.029,33944,1170.48276,32688,1021,48,104,83,0.14140938,0.30638699,0.24452039,21563,67.1659788,15.3874693,2.87529565,32190,94.8326656,10.2236719,13.2994025,9.25383422,8.32317604,1,LAU,1170482.75862069
2023,co1umbiana,OH,0.031,108276,3492.77419,106369,1409,174,219,105,0.16070043,0.20226089,0.0969744,70249,71.8003103,13.0905778,2.8797563,106943,98.7688869,15.8916432,23.2200959,13.6442561,12.0377504,1,AAU,3492774.19354839
2024,coshocton,OH,0.034,35427,1041.97059,34819,415,68,112,13,0.191944,0.31614305,0.03669518,22878,71.3305359,11.6793426,2.42154034,34833,98.3233127,13.188643,17.751112,11.1867496,12.1505376,0,AAR,1041970.58823529
2025,crawf0rd,OH,0.023,47870,2081.30435,47361,253,67,116,73,0.1399624,0.24232296,0.15249634,30958,73.8193682,14.258027,2.9717682,47189,98.5773971,11.5916845,15.418153,10.1218333,10.4140383,1,AAU,2081304.34782609
577,crawford,IL,0.026,19464,748.615385,19300,63,34,48,19,0.17468146,0.24660912,0.09761611,13317,76.0306375,16.9858076,3.33408425,19123,98.2480477,10.5370496,13.809825,8.87024273,10.8033875,0,AAR,748615.384615385
675,crawford,IN,0.018,9914,550.777778,9868,9,26,11,0,0.2622554,0.11095421,0,6297,59.5680483,8.54375099,2.93790694,9780,98.648376,18.4662577,22.923588,14.3980528,24.0462428,0,LHR,550777.777777778
1216,crawford,MI,0.034,12260,360.588235,11802,264,145,42,7,1.18270799,0.34257749,0.05709625,8057,73.2034256,18.7787018,4.98945017,11569,94.3637847,14.5907166,20.8293153,12.8239203,10.9926169,0,AAR,360588.235294118
2992,crawford,WI,0.035,15940,455.428571,15791,50,26,56,17,0.16311167,0.35131744,0.10664994,10169,72.3964992,16.599469,2.92064116,15562,97.6286073,14.6382213,19.4600675,12.3815621,13.4865437,0,AAR,455428.571428571
578,cumberland,IL,0.02,10670,533.5,10627,5,6,26,6,0.05623243,NA,0.05623243,6727,72.2461721,14.5978891,2.69064962,10590,99.2502343,12.0491029,13.6031851,9.8222638,15.2846257,0,AAR,533500
2026,cuyahoga,OH,0.026,1412140,54313.0769,1025756,350185,2533,18085,15581,0.17937315,1.28068039,1.10336086,943924,74.0130561,25.0853882,7.35673635,1388547,98.3292733,13.7661167,21.5809764,11.6755057,10.213391,1,AAU,54313076.9230769
581,d0uglas,IL,0.025,19464,778.56,19280,16,19,41,108,0.09761611,0.21064529,0.55487053,12550,74.0318725,16.8685259,3.84063745,19140,98.3353884,9.62904911,13.2935431,7.92479531,8.71436256,0,AAR,778560
2996,d0uglas,WI,0.078,41758,535.358974,40454,170,805,266,63,1.92777432,0.63700369,0.15086929,27060,77.2172949,20.9940872,4.97782705,40426,96.8101921,14.9210904,22.9435598,13.1049683,9.24704418,1,AAU,535358.974358974
580,d3 witt,IL,0.023,16516,718.086957,16387,25,37,43,24,0.22402519,0.2603536,0.14531364,10941,74.6458276,16.1959601,3.30865552,16238,98.3167837,10.3153098,13.568426,7.95599305,12.2553448,0,AAR,718086.956521739
1217,d3lta,MI,0.069,37780,547.536232,36819,16,809,99,37,2.14134463,0.26204341,0.09793542,24476,76.8875633,18.912404,3.52590293,37242,98.5759661,14.6125342,18.591133,13.127551,13.1073145,0,AAR,547536.231884058
2993,dane,WI,0.073,367085,5028.56164,344617,10511,1201,8666,2090,0.32717218,NA,0.56935042,225973,88.8986737,43.6264509,13.4715209,351558,95.7701895,10.4930054,8.76778118,12.1680107,4.97435064,1,HAU,5028561.64383562
676,daviess,IN,0.026,27533,1058.96154,27372,99,26,20,16,0.09443214,0.0726401,0.05811208,17267,66.2187989,13.2391267,3.35900851,26896,97.6864127,15.5413444,20.7750953,12.3878965,15.9292035,0,LAR,1058961.53846154
579,de kalb,IL,0.038,77932,2050.84211,72968,2069,123,1751,1021,0.1578299,2.24683057,1.31011651,41817,83.8797618,32.835928,11.1509673,69127,88.7016887,13.5446352,8.67823765,17.0474188,6.45390792,1,HAU,2050842.10526316
679,de kalb,IN,0.022,35324,1605.63636,35009,37,91,88,99,0.25761522,0.24912241,0.28026271,21801,77.5469015,15.581854,4.45392413,34833,98.6100102,6.45652112,8.76933688,4.93601463,7.47427333,1,ALU,1605636.36363636
677,dearb0rn,IN,0.019,38835,2043.94737,38440,252,53,75,15,0.13647483,NA,0.03862495,24335,73.4785289,15.5742757,4.24491473,38254,98.5039269,8.48015894,10.7832521,7.1425195,8.94133289,1,AAU,2043947.36842105
678,decatur,IN,0.022,23645,1074.77273,23444,39,19,129,14,0.08035525,0.54556989,0.05920914,14625,72.3350427,13.9213675,4.56068376,23245,98.3083104,9.06431491,11.116045,7.66800916,10.0627287,0,AAR,1074772.72727273
2028,defiance ,OH,0.023,39350,1710.86957,36962,493,80,121,1694,0.20330368,NA,4.30495553,24362,76.7670963,18.1881619,3.44388802,38386,97.5501906,8.7584015,11.4322065,7.11092484,9.76641842,0,AAR,1710869.56521739
2029,delaware,OH,0.027,66929,2478.85185,64888,1424,104,385,128,0.15538855,0.57523644,0.19124744,41799,84.3728319,31.5940573,9.34232876,63986,95.602803,5.67311599,6.5723747,4.52441077,9.06414817,1,HLU,2478851.85185185
2994,dodge,WI,0.054,76559,1417.75926,74700,1142,215,197,305,0.28082916,0.25731789,0.39838556,49694,72.2783435,15.9254638,2.82327846,72840,95.1423085,6.64470071,8.39387394,5.17740489,8.25578798,0,ALR,1417759.25925926
2995,door,WI,0.028,25690,917.5,25387,29,178,47,49,0.69287661,0.18295056,0.19073569,17369,79.5670447,22.4883413,4.42167079,25318,98.5519657,9.82305079,13.938754,8.2382666,8.65316276,0,AAR,917500
582,du page ,IL,0.02,781666,39083.3,714905,15462,962,39634,10703,0.12307047,5.07045209,1.3692549,502321,88.5768264,42.7688669,11.9632665,771641,98.7174829,2.71473392,2.94525227,2.39906403,3.83824912,1,HLU,39083300
681,dubois ,IN,0.026,36616,1408.30769,36466,33,30,55,32,0.0819314,0.15020756,0.08739349,22921,72.2307055,17.1676628,4.47188168,35883,97.9981429,6.13661065,5.50713154,4.41161892,13.4687333,0,ALR,1408307.69230769
2997,dunn,WI,0.052,35909,690.557692,34929,172,95,633,80,0.26455763,1.76278927,0.22278537,19755,77.6613516,26.2870159,7.50696026,32837,91.4450416,16.6336754,15.1954674,18.6613878,11.8962601,0,AAR,690557.692307692
1219,eaton,MI,0.034,92879,2731.73529,87549,3310,438,559,1023,0.4715813,0.60185833,1.10143305,58205,85.5304527,26.9787819,6.14723821,91580,98.6014061,6.81371478,8.91257154,5.70213714,7.35389086,1,HLU,2731735.29411765
2998,eau claire,WI,0.038,85183,2241.65789,82202,238,467,2124,152,0.54823145,2.49345527,0.17843936,49336,82.7894438,29.8544673,7.55634831,80458,94.4531186,15.9437222,18.7430181,16.7685011,8.57514739,1,HAU,2241657.89473684
583,edgar,IL,0.036,19595,544.305556,19469,68,24,24,10,0.12248022,0.12248022,0.05103343,13082,73.5208684,16.8399327,3.67680783,19258,98.2801735,16.0037387,22.8276281,14.4809567,11.7620137,0,AAR,544305.555555556
682,elkhart,IN,0.027,156198,5785.11111,146505,7106,453,997,1137,0.29001652,0.63829242,0.72792225,96003,72.8060581,18.3723425,5.36649896,152953,97.9225086,7.04203252,9.86358867,5.80470664,6.30558874,1,ALU,5785111.11111111
1220,emmet,MI,0.027,25040,927.407407,24122,133,683,69,33,2.72763578,0.27555911,0.13178914,16448,81.535749,26.8725681,6.49319066,24581,98.1669329,8.51470648,10.2641509,7.11646468,10.1717902,0,HAR,927407.407407407
2030,erie,OH,0.014,76779,5484.21429,69613,6312,150,265,439,0.19536592,0.34514646,0.57177093,50112,76.2392241,18.7380268,4.63761175,75406,98.2117506,8.98602233,12.6682741,7.13811263,9.33003597,0,AAR,5484214.28571429
587,f0rd,IL,0.03,14275,475.833333,14157,43,14,40,21,0.09807356,NA,0.14711033,9592,77.1684737,17.8273561,3.89908257,13860,97.0928196,9.26406926,13.5712279,7.32528768,8.78740157,0,AAR,475833.333333333
684,f1oyd,IN,0.009,64404,7156,61415,2642,92,175,80,0.14284827,0.27172225,0.12421589,41499,73.2234512,20.5498928,6.40015422,63308,98.2982423,11.0080874,16.0648533,8.19145697,12.6123514,1,AAU,7156000
2031,fairfi31d,Ohio,0.029,103461,3567.62069,101610,1153,193,378,127,0.18654372,0.36535506,NA,65269,78.751015,21.0773874,4.84763058,100916,97.5401359,8.77759721,11.6821249,6.9252938,10.5373526,1,AAU,3567620.68965517
586,fayette,IL,0.044,20893,474.840909,20148,599,40,35,71,0.19145168,0.16752022,0.33982674,13894,68.7922844,13.6029941,2.98690082,19452,93.1029531,13.618137,16.6276347,12.1341463,13.4358289,0,AAR,474840.909090909
683,fayette,IN,0.012,26015,2167.91667,25462,435,37,69,12,0.14222564,0.2652316,0.04612723,16744,63.9094601,11.4249881,3.78643096,25571,98.2932923,10.7856556,14.6890163,8.84701144,10.8691186,0,LAR,2167916.66666667
2032,fayette,OH,0.024,27466,1144.41667,26593,662,50,102,59,0.18204325,0.37136824,0.21481104,17854,65.2850902,11.8740898,2.14517755,26886,97.8882983,16.2203377,21.9505379,13.5346455,15.9820151,0,LAR,1144416.66666667
3000,fond du lac ,WI,0.044,90083,2047.34091,88760,257,297,448,321,0.32969595,0.49731914,0.35633804,56764,77.5068706,20.8318653,3.66253259,87203,96.8029484,7.64423242,10.1088839,6.25657867,8.04270463,0,AAR,2047340.90909091
3001,forest,WI,0.06,8776,146.266667,7842,127,780,14,13,8.88787603,0.15952598,0.14813127,5608,64.1226819,13.5699001,2.2467903,8581,97.778031,21.7806782,31.751365,19.6937066,14.349332,0,LHR,146266.666666667
685,fountain,IN,0.025,17808,712.32,17726,4,25,27,26,0.14038634,0.15161725,0.1460018,11700,72.965812,11.1452991,3.29059829,17573,98.6803684,9.83895749,13.1136951,7.04975016,12.6510878,0,AAR,712320
588,frank1in,IL,0.025,40319,1612.76,40068,36,106,84,25,0.26290335,0.2083385,0.06200551,27214,66.6642169,14.7056662,2.43257147,39703,98.4721843,20.764174,31.074742,19.3135372,13.6794859,0,LHR,1612760
686,franklin,IN,0.023,19580,851.304348,19496,10,34,27,13,0.17364658,NA,0.06639428,12029,65.2672708,12.9935988,3.54975476,19375,98.9530133,10.6270968,12.6787252,8.36868492,14.2276423,0,LAR,851304.347826087
2033,franklin,OH,0.034,961437,28277.5588,783714,152840,2056,19437,3390,0.21384657,2.02166133,0.35259721,597303,80.9987561,32.204593,9.14092178,935142,97.2650314,12.9900058,17.6378685,11.8183828,9.74934856,1,HAU,28277558.8235294
2034,fult0n,OH,0.025,38498,1539.92,37097,93,62,137,1109,0.16104733,0.35586264,2.88066913,23846,78.2563113,16.4765579,3.3296989,37995,98.6934386,6.22976707,7.58154831,4.93982309,8.1255161,1,ALU,1539920
589,fulton,IL,0.052,38080,732.307692,37117,668,83,105,107,0.21796218,0.27573529,0.28098739,25592,73.847296,15.5321976,2.99703032,36393,95.5698529,15.494738,22.8122252,13.9965731,11.0196033,0,AAR,732307.692307692
687,fulton,IN,0.021,18840,897.142857,18555,151,47,36,51,0.24946921,0.1910828,0.27070064,12405,75.3164047,13.929867,4.15961306,18611,98.7845011,10.3379722,12.8706879,9.1876013,10.0211528,0,AAR,897142.857142857
1222,g1adwin ,MI,0.031,21896,706.322581,21694,19,114,40,29,0.52064304,0.18268177,0.13244428,14388,64.8040033,11.4331387,2.20322491,21641,98.8354037,22.3233677,33.1810193,20.1047987,14.9024246,0,LHR,706322.580645161
2036,g3auga,OH,0.024,81129,3380.375,79629,1056,83,312,49,0.1023062,0.38457272,0.06039764,51290,82.0413336,31.6279977,9.12263599,80419,99.1248505,5.55217051,8.49137931,4.10188194,5.40397817,1,HLU,3380375
590,gallatin,Illinois,0.019,6909,363.631579,6842,42,10,11,4,0.14473875,0.15921262,NA,4680,58.4188034,11.3675214,2.69230769,6737,97.5104936,21.4338726,29.7246558,20.005596,16.2300319,0,LHR,363631.578947368
1221,genesee,MI,0.037,430459,11634.027,336651,84257,3132,2902,3517,0.72759543,0.67416409,0.81703484,265430,76.7660023,20.1454244,4.80201936,425331,98.8087135,16.4631781,25.2357066,13.84395,9.70689451,1,AAU,11634027.027027
1223,gogebic,MI,0.068,18052,265.470588,17486,243,283,26,14,1.56769333,0.14402836,0.07755373,12497,76.2743058,21.1730815,3.35280467,17385,96.3051185,14.8806442,19.5447798,13.5987339,13.257945,0,AAR,265470.588235294
690,gr3ene,IN,0.033,30410,921.515152,30248,10,47,65,40,0.15455442,0.21374548,0.13153568,20124,71.5861658,14.9522958,4.35301133,29957,98.5103584,13.1788897,18.2160478,11.4086437,11.5055672,0,AAR,921515.151515151
1224,grand traverse,MI,0.03,64273,2142.43333,63019,259,555,318,122,0.86350412,0.49476452,0.18981532,41094,84.861537,30.9753249,7.0253565,62872,97.8202356,8.54911566,11.2048541,7.49803127,7.69153931,0,HAR,2142433.33333333
689,grant,IN,0.024,74169,3090.375,67817,5047,298,373,634,0.40178511,0.50290553,0.85480457,47541,71.7570097,15.5381671,5.48579121,70618,95.2122855,13.0816506,18.2321973,11.6630942,10.2415235,0,AAR,3090375
3002,grant,WI,0.069,49264,713.971014,48838,76,76,234,40,0.15427087,NA,0.08119519,29160,77.8806584,21.6803841,5.24348422,46314,94.0118545,13.7150754,15.1552225,12.9747224,13.6286394,0,AAR,713971.014492754
1225,gratiot,MI,0.033,38982,1181.27273,37827,328,144,98,585,0.36940126,0.25139808,1.50069263,23966,77.0675123,16.4441292,4.20595844,36654,94.0280129,14.0803187,19.1593729,12.4962511,10.7022876,0,AAR,1181272.72727273
3003,green,WI,0.034,30339,892.323529,30173,23,51,66,26,0.16810046,0.21754178,0.08569828,19708,76.7759286,19.8751776,3.34381977,29821,98.2926267,7.83675933,10.2412605,6.84171136,7.20466184,0,AAR,892323.529411765
3004,green lake,WI,0.022,18651,847.772727,18386,21,42,103,99,0.225189,0.55224921,0.53080264,12453,74.5523167,17.3050671,3.33253031,18351,98.3915072,9.9722086,13.5313531,8.35054909,9.42870413,0,AAR,847772.727272727
591,greene,IL,0.033,15317,464.151515,15231,14,50,17,5,0.32643468,0.11098779,0.03264347,10031,69.0459575,13.0495464,2.71159406,15096,98.5571587,15.5339163,20.0300827,13.444049,14.9431818,0,AAR,464151.515151515
2037,greene,OH,0.025,136731,5469.24,124081,9611,398,2133,508,0.29108249,NA,0.37153242,83757,82.3740105,31.956732,11.061762,130134,95.175198,9.49098621,12.0735213,8.7175598,7.88356241,1,HAU,5469240
2038,guernsey,OH,0.032,39024,1219.5,38166,616,70,141,31,0.17937679,0.36131611,0.07943829,25188,71.3593775,13.5143719,2.57265364,38112,97.6629766,17.4721872,24.3214731,15.0734936,14.3717608,0,AAR,1219500
2046,h0lm3s,Ohio,0.025,32849,1313.96,32706,52,24,43,24,0.07306158,0.13090201,NA,17780,46.912261,9.33070866,1.72665917,31830,96.8979269,17.2447377,24.5171128,12.3522422,15.3579391,0,LAR,1313960
1227,h0ughton,Michigan,0.06,35446,590.766667,34469,158,153,610,56,0.4316425,1.72092761,NA,20646,73.9416836,24.7650877,7.32829604,32448,91.542064,21.0367357,21.1989796,23.6971485,14.5784943,0,AHR,590766.666666667
695,h3nry,Indiana,0.024,48139,2005.79167,47446,474,78,78,63,0.16203079,0.16203079,NA,31989,71.374535,13.2576823,4.41714339,47341,98.3423004,12.3508164,17.2683924,10.6034222,11.0881168,0,AAR,2005791.66666667
2039,hami1ton ,OH,0.025,866228,34649.12,672972,181145,1204,9198,1709,0.13899343,1.06184515,0.19729217,551233,75.6496799,29.7883109,8.6172272,846909,97.7697558,13.2924553,19.570569,11.169832,10.6960613,1,AAU,34649120
593,hamilt0n ,IL,0.025,8499,339.96,8462,3,11,21,2,0.12942699,0.24708789,0.02353218,5859,59.9931729,14.0467657,2.61136713,8383,98.6351335,19.8496958,21.9232686,17.0501332,23.1419671,0,LHR,339960
691,hamilton,IN,0.024,108936,4539,106764,676,163,1190,143,0.14962914,1.09238452,0.13126974,69127,88.6961679,42.1311499,12.0893428,107945,99.0902915,3.59164389,4.25498008,2.92675381,5.45073375,1,HLU,4539000
2040,hanc0ck,OH,0.031,65536,2114.06452,63572,591,91,401,881,0.13885498,0.61187744,1.34429932,41492,82.919599,24.4504965,5.54564735,64198,97.958374,7.27748528,8.45006003,6.51807196,7.93665845,0,HLR,2114064.51612903
692,hanc0ck ,IN,0.017,45527,2678.05882,45173,44,59,176,75,0.12959343,0.38658379,0.16473741,29024,80.1095645,20.4899394,6.60832415,44988,98.8160872,4.46341247,5.62774014,3.50094256,6.07751938,1,HLU,2678058.82352941
594,hancock,IL,0.047,21373,454.744681,21272,26,25,37,13,0.11697001,0.17311561,0.0608244,14322,77.5380533,20.6605223,3.86119257,20943,97.9881158,11.7843671,14.6202065,9.82946027,12.9152053,0,AAR,454744.680851064
595,hardin,IL,0.009,5189,576.555556,5062,85,16,13,13,0.30834458,0.25052997,0.25052997,3492,59.7365407,14.3184422,2.60595647,4954,95.4711891,26.7460638,35.1417004,25.1742835,21.1961302,0,LHR,576555.555555556
2041,hardin,OH,0.028,31111,1111.10714,30661,236,66,115,33,0.21214361,0.36964418,0.10607181,18589,73.9523374,16.0309861,4.32513852,29111,93.5714056,16.3821236,21.816574,14.9368203,12.5945537,0,AAR,1111107.14285714
693,harrison,IN,0.028,29890,1067.5,29641,124,58,36,31,0.19404483,0.12044162,0.10371362,18829,71.1243295,13.1074407,3.83982155,29559,98.8926062,9.83118509,12.58419,7.53536948,12.9673655,1,AAU,1067500
2042,harrison,OH,0.025,16085,643.4,15645,393,22,15,10,0.13677339,0.09325459,0.06216972,10726,69.7557337,10.5537945,1.96718255,15808,98.2778987,19.6988866,29.3435341,18.2995358,11.9607843,0,AHR,643400
596,henders0n,IL,0.023,8096,352,8037,8,29,10,12,0.35820158,NA,0.14822134,5467,73.349186,13.7735504,2.17669654,8030,99.1847826,12.9389788,15.6080748,10.2823529,16.2950257,0,AAR,352000
694,hendricks,IN,0.024,75717,3154.875,74519,685,157,275,81,0.20735106,0.36319453,0.1069773,48047,84.0656024,24.2200345,7.15965617,73207,96.6850245,3.66904804,4.22803082,2.84384454,6.13503237,1,HLU,3154875
597,henry,IL,0.051,51159,1003.11765,49969,657,63,128,342,0.12314549,0.25020036,0.66850408,33423,77.1953445,18.7236334,4.22164378,50472,98.6571278,10.4790775,15.1772634,8.63526345,9.01154039,1,AAU,1003117.64705882
2044,highland,OH,0.034,35728,1050.82353,34876,692,73,71,16,0.20432154,0.19872369,0.0447828,22784,66.4808638,12.3112711,2.49297753,35314,98.841245,16.4835476,19.4384226,14.3413749,18.1541141,0,LAR,1050823.52941176
2045,hocking,OH,0.024,25533,1063.875,25199,234,55,25,20,0.21540751,0.09791251,0.07833,16368,67.8457967,12.85435,2.71260997,24857,97.3524459,15.7098604,20.7745956,13.4820216,14.9915234,0,LAR,1063875
697,huntington,IN,0.023,35427,1540.30435,35012,52,154,133,76,0.4346967,0.37541988,0.21452564,22188,78.5559762,16.9731386,4.84946818,34397,97.092613,6.56452598,7.3208402,5.38424668,9.07244414,1,ALU,1540304.34782609
1228,huron,MI,0.05,34951,699.02,34627,22,89,60,153,0.25464221,0.17166891,0.43775572,22798,67.9928064,14.3082727,3.08799017,34484,98.6638437,15.0098596,17.9445876,13.4359815,14.9548881,0,LAR,699020
2047,huron,OH,0.03,56240,1874.66667,54982,597,85,153,423,0.15113798,0.27204836,0.75213371,34521,74.131688,13.4497842,2.95472321,55535,98.7464438,9.50391645,13.0375596,8.02076192,8.16840178,0,AAR,1874666.66666667
1230,i0nia,MI,0.034,57024,1677.17647,53141,3003,221,120,539,0.38755612,0.21043771,0.94521605,33466,77.2156816,15.116835,3.40046614,51695,90.654812,11.3299159,14.9650878,9.34628975,11.1096292,0,AAR,1677176.47058824
3005,i0wa,Wisconsin,0.046,20150,438.043478,20093,7,21,19,10,0.10421836,0.0942928,NA,12747,80.5993567,20.483251,3.94602652,19890,98.7096774,9.99497235,12.4825175,8.10377358,11.6246499,0,HAR,438043.47826087
1229,ingham,MI,0.034,281912,8291.52941,237183,27837,1941,7562,7389,0.68851273,2.68239734,2.62103068,158966,83.8676195,36.7600619,12.8599826,261491,92.7562502,16.6181628,18.9472436,17.0660584,9.3982718,1,HAU,8291529.4117647
1231,iosco,MI,0.033,30209,915.424242,28966,632,228,269,114,0.75474196,0.89046311,0.37737098,19194,76.3155153,16.2342399,3.63134313,29106,96.3487702,14.1585927,18.5825964,12.2557611,13.2756867,0,AAR,915424.242424242
1232,iron,MI,0.07,13175,188.214286,13028,4,102,32,9,0.77419355,0.24288425,0.0683112,9594,72.9726913,15.4575777,3.28330206,12886,97.8064516,17.1193543,23.3241189,14.4561646,16.5122357,0,AAR,188214.285714286
3006,iron,WI,0.047,6153,130.914894,6121,1,25,2,4,0.40630587,0.03250447,0.06500894,4447,74.7020463,18.7317293,2.67596132,6021,97.854705,13.0709185,15.6467854,12.1790423,12.6623377,0,AAR,130914.893617021
598,iroquois,IL,0.067,30787,459.507463,30154,164,43,69,357,0.13966934,0.22412057,1.15958034,20578,73.4376519,15.1666829,3.22674701,30189,98.0576217,9.19871476,11.6762716,7.9592631,9.10027978,0,AAR,459507.462686567
1233,isabella ,MI,0.034,54624,1606.58824,52212,635,1020,456,301,1.86731107,0.83479789,0.55103984,26492,79.7448286,27.2497358,10.0030198,48498,88.7851494,24.8546332,21.2696866,28.4791467,13.966294,0,AHR,1606588.23529412
599,jacks0n,IL,0.036,61067,1696.30556,51991,6342,109,2178,447,0.17849248,3.56657442,0.7319829,32172,78.767251,36.6436653,14.0898918,54230,88.8041004,28.37175,26.3922105,32.4584833,13.8153008,0,AHR,1696305.55555556
698,jacks0n,IN,0.03,37730,1257.66667,37289,138,66,189,48,0.17492711,0.50092764,0.12721972,24151,69.3263219,13.1423129,3.82592853,37228,98.6694938,10.4921027,13.5361596,8.64372075,11.5976685,0,AAR,1257666.66666667
2048,jackson,OH,0.024,30230,1259.58333,29895,218,53,39,25,0.17532253,0.12901092,0.08269931,19136,60.8800167,10.9845318,2.95255017,29874,98.8223619,24.1882573,30.1736614,21.0996006,24.1633681,0,LHR,1259583.33333333
699,jasper,IN,0.034,24960,734.117647,24659,111,60,40,90,0.24038462,0.16025641,0.36057692,14984,75.5205553,14.8558462,5.23224773,23850,95.5528846,7.9706499,10.070028,6.37300843,9.37019969,0,AAR,734117.647058823
700,jay,IN,0.022,21512,977.818182,21313,30,32,67,70,0.14875418,0.31145407,0.32539978,13843,68.8795781,12.771798,4.43545474,21179,98.4520268,9.74078096,11.8595994,8.39788732,10.5313547,0,AAR,977818.181818182
701,jeffers0n,IN,0.021,29797,1418.90476,29181,363,58,122,73,0.19465047,0.40943719,0.24499111,18876,70.285018,17.5460903,5.50434414,27849,93.4624291,11.63417,15.6190216,9.61010784,12.1604938,0,AAR,1418904.76190476
2049,jeffers0n,OH,0.022,80298,3649.90909,75270,4488,167,266,107,0.20797529,0.33126603,0.13325363,54294,71.879029,13.8431503,2.81799094,78510,97.7732945,17.1494077,26.2505981,15.7419355,10.8577511,1,AAU,3649909.09090909
3008,jeffers0n,WI,0.035,67783,1936.65714,66702,189,176,287,429,0.25965213,0.42341,0.63290206,42214,76.9649879,22.1656323,4.73302696,64692,95.4398596,7.1956347,7.99721432,6.72824313,7.46902655,0,ALR,1936657.14285714
601,jefferson,IL,0.033,37020,1121.81818,34856,1924,56,129,55,0.15126958,0.34846029,0.14856834,24023,69.9038422,18.3698955,3.67980685,36495,98.5818476,16.0569941,21.1134991,13.6358867,15.631524,0,AAR,1121818.18181818
702,jennings,IN,0.021,23661,1126.71429,23347,209,31,51,23,0.13101729,0.21554457,0.09720637,14942,64.0811136,10.1458975,3.38642752,22854,96.5893242,12.8030104,16.947001,10.3086514,14.7733961,0,LAR,1126714.28571429
602,jersey,IL,0.023,20539,893,20346,96,43,32,22,0.20935781,0.15580116,0.1071133,12847,71.9156223,14.7583093,3.13691913,19611,95.4817664,9.74453113,11.8255728,8.8343212,9.29971989,1,AAU,893000
603,jo daviess,IL,0.035,21821,623.457143,21732,14,20,29,26,0.09165483,0.1328995,0.11915128,14409,74.092581,16.4133528,3.4284128,21610,99.0330416,8.28782971,9.29164459,6.28398253,11.8393235,0,AAR,623457.142857143
604,johnson ,IL,0.02,11347,567.35,10230,1046,26,14,31,0.22913545,0.12338063,0.27319996,7922,66.1701591,14.3524363,3.43347639,9180,80.9024412,15.5555556,18.5350603,12.2665006,19.8775318,0,LAR,567350
703,johnson ,IN,0.018,88109,4894.94444,86455,845,139,534,136,0.15775914,0.60606748,0.15435427,55137,80.4069862,22.308069,6.24988665,85547,97.092238,6.90263832,8.75542692,5.76260508,8.17939609,1,HLU,4894944.44444444
3009,juneau,WI,0.047,21650,460.638298,21307,31,166,78,68,0.76674365,0.36027714,0.31408776,14210,70.5840957,14.3912738,2.47712878,21340,98.5681293,12.7835052,14.7692308,11.1914696,13.9638682,0,AAR,460638.29787234
3010,k3nosha,WI,0.016,128181,8011.3125,119187,5295,472,669,2558,0.3682293,0.52191823,1.99561557,80794,75.087259,20.3282422,4.06094512,125494,97.9037455,10.2140341,15.6521483,8.56810674,6.94973343,1,AAU,8011312.5
