 Flight Number,Departure Delay,Arrival Delay,Airline,Origin Airport,Destination Airport,Distance,Flight Date,Delay Ratio
5475,-3,-22,EV,LGA,TVC,585,2013-07-13 09:00:00,7.33333333333333
1174,-8,-9,DL,LGA,PBI,981,2013-04-29 12:00:00,1.125
4088,NA,29,NA,EWR,SDF,NA,2013-01-02 20:00:00,1.8125
281,5,-13,B6,JFK,HOU,1371,2013-10-13 08:00:00,-2.6
258,-1,-30,UA,EWR,MCO,963,2013-10-06 14:00:00,30
353,-6,-10,FL,LGA,CAK,454,2013-10-20 09:00:00,1.66666666666667
3674,5,14, MQ ,LGA,CLE,363,2013-08-14 18:00:00,2.8
652,-2,24,UA,EWR,LAS,2172,2013-03-07 09:00:00,-12
4233,80,61,EV,EWR,ALB,243,2013-11-06 22:00:00,0.7625
5274,-9,-27,EV,LGA,BNA,694,2013-10-08 18:00:00,3
5486,-1,-9,EV,LGA,PIT,338,2013-02-12 16:00:00,9
363,-3,-27,AA,LGA,ORD,795,2013-09-10 19:00:00,9
3512,NA,NA,9E,LGA,IND,756,2013-11-07 10:00:00,-0.384615384615385
21,-1,-16,B6,JFK,TPA,1101,2013-03-28 20:00:00,16
1018,-2,-2, B6,JFK,BOS,272,2013-05-06 22:00:00,1
4181,4,-8,EV,EWR,MCI,1072,2013-01-07 14:00:00,-2
5092,107,87,EV,EWR,ATL,750,2013-07-12 19:00:00,0.813084112149533
1637,4,6,UA ,EWR,TPA,987,2013-12-12 18:00:00,1.5
884,13,-2,DL,LGA,DEN,1615,2013-03-06 17:00:00,-0.153846153846154
1879,-6,-13,DL,LGA,FLL,1021,2013-06-10 07:00:00,2.16666666666667
420,1,-7,UA,EWR,ORD,708,2013-08-31 14:00:00,-7
223,-1,15,B6,JFK,LAX,2560,2013-12-22 09:00:00,-15
1103,NA,-25, NA,LGA,DFW,1461,2013-09-25 06:00:00,6.25
1819,18,27,DL,LGA,MSP,925,2013-04-22 14:00:00,1.5
509,108,94,UA,LGA,DEN,1638,2013-06-17 17:00:00,0.87037037037037
3843,-4,-16,EV,EWR,ATL,734,2013-05-12 09:00:00,4
383,30,55,B6,LGA,FLL,1036,2013-04-20 21:00:00,1.83333333333333
1739,-4,NA,AA,EWR,DFW,NA,2013-04-20 09:00:00,1
1547,-6,-6,DL ,LGA,ATL,692,2013-05-21 07:00:00,1
4431,-7,0,MQ,LGA,RDU,347,2013-04-10 12:00:00,0
807,-4,-10, DL,EWR,ATL,836,2013-01-11 07:00:00,2.5
5823,NA,NA,EV,EWR,MHT,273,2013-07-20 14:00:00,NA
3849,NA,-14,EV,EWR,CVG,597,2013-09-29 16:00:00,-4.66666666666667
1271,-10,-1,B6,LGA,FLL,1071,2013-08-27 19:00:00,0.1
611,-2,17,B6,JFK,JAX,804,2013-02-12 08:00:00,-8.5
1164,-7,-32,DL,JFK,BOS,188,2013-07-28 14:00:00,4.57142857142857
5736,175,183,EV,LGA,IAD,291,2013-03-04 09:00:00,1.04571428571429
2019,88,135,AA,LGA,STL,891,2013-08-08 18:00:00,1.53409090909091
1847,-4,4, DL,LGA,ATL,757,2013-06-06 10:00:00,-1
831,-4,3,DL ,LGA,DTW,524,2013-03-20 07:00:00,-0.75
303,4,-4,AA,LGA,ORD,777,2013-01-02 06:00:00,-1
203,-5,-14,B6,JFK,LAS,2324,2013-06-01 06:00:00,2.8
516,NA,NA,NA,EWR,PHX,2051,2013-11-07 13:00:00,1.05769230769231
161,21,20,DL,JFK,SEA,2327,2013-08-22 14:00:00,0.952380952380952
923,-2,15,DL,LGA,MIA,1010,2013-05-06 09:00:00,-7.5
1211,6,-29,UA,LGA,IAH,1439,2013-02-18 10:00:00,-4.83333333333333
1064,30,25, UA,EWR,BOS,171,2013-02-20 19:00:00,0.833333333333333
799,-4,27,UA,EWR,FLL,1058,2013-10-20 14:00:00,-6.75
1493,0,45,UA,EWR,LAX,2423,2013-12-09 14:00:00,Inf
179,-5,-46,B6,JFK,PHX,2131,2013-04-27 17:00:00,9.2
3572,-11,-22,MQ ,LGA,CLE,431,2013-06-30 12:00:00,2
347,136,104,DL,JFK,SJU,1558,2013-06-25 21:00:00,0.764705882352941
4535,NA,-5,EV,EWR,MSP,NA,2013-08-12 06:00:00,5
675,-9,-16,US,EWR,CLT,488,2013-04-27 08:00:00,1.77777777777778
575,-4,-4, DL,EWR,ATL,774,2013-03-01 06:00:00,1
2370,-3,6,DL,LGA,PBI,1078,2013-10-08 19:00:00,-2
3301,NA,NA,MQ,LGA,RDU,502,2013-09-02 17:00:00,NA
5299,-10,NA,EV,LGA,MEM,1002,2013-09-08 13:00:00,3
203,-5,-14,B6,JFK,LAS,2214,2013-01-17 07:00:00,2.8
5373,9,-7,EV,LGA,GSO,494,2013-10-25 11:00:00,-0.777777777777778
271,12,-4,UA,EWR,AUS,1457,2013-09-16 14:00:00,-0.333333333333333
173,2,-15,B6 ,JFK,SJC,2508,2013-04-17 18:00:00,-7.5
5525,NA,22, NA,LGA,MHT,281,2013-08-21 19:00:00,0.478260869565217
7,-13,-26,AS,EWR,SEA,2358,2013-01-12 18:00:00,2
460,66,37,UA,EWR,FLL,977,2013-12-22 21:00:00,0.560606060606061
685,-6,-12,FL,LGA,ATL,718,2013-09-09 18:00:00,2
133,-7,-2,B6,JFK,RSW,1046,2013-06-08 15:00:00,0.285714285714286
739,-5,-28,WN,EWR,AUS,1573,2013-04-07 09:00:00,5.6
987,0,-10,B6,JFK,MCO,922,2013-03-24 07:00:00,-Inf
2302,-2,-20,B6,JFK,BUF,273,2013-09-20 16:00:00,10
544,-5,-25, UA,LGA,ORD,699,2013-07-26 07:00:00,5
1,-4,6,AA,JFK,LAX,2392,2013-01-31 09:00:00,-1.5
5769,NA,NA,EV ,LGA,IAD,198,2013-06-12 19:00:00,0.888888888888889
257,NA,NA,UA,JFK,SFO,2548,2013-09-07 15:00:00,NA
885,-8,-22,B6,JFK,RDU,444,2013-04-24 09:00:00,2.75
2279,-5,-18,AA,LGA,MIA,1136,2013-02-12 07:00:00,3.6
95,-1,-14,DL,JFK,LAX,2567,2013-09-15 17:00:00,14
216,50,13,UA,EWR,CLE,NA,2013-03-09 06:00:00,0.26
483,-3,4, UA,EWR,FLL,1052,2013-09-12 13:00:00,-1.33333333333333
2187,27,18,US,LGA,DCA,261,2013-06-11 19:00:00,0.666666666666667
4364,0,13,EV,EWR,MCI,1164,2013-10-22 08:00:00,Inf
4702,101,179,EV,EWR,GSO,534,2013-08-08 16:00:00,1.77227722772277
2138,NA,-9,NA,LGA,BOS,151,2013-02-19 18:00:00,-2.25
681,18,-17,US ,EWR,PHX,2169,2013-05-14 16:00:00,-0.944444444444444
4491,-9,-29,MQ,LGA,CLE,503,2013-03-27 14:00:00,3.22222222222222
1704,0,-13,UA,EWR,FLL,1145,2013-06-02 14:00:00,-Inf
2138,2,-7, US,LGA,BOS,233,2013-07-03 18:00:00,-3.5
491,118,NA,WN,LGA,MDW,697,2013-09-13 13:00:00,1.09322033898305
3611,4,-9,MQ,EWR,ORD,746,2013-09-22 10:00:00,-2.25
2124,-11,-14,US,LGA,BOS,190,2013-01-07 11:00:00,1.27272727272727
3542,0,-26,9E,JFK,MSP,993,2013-09-27 18:00:00,-Inf
1143,0,-5,UA,EWR,PBI,1080,2013-12-08 11:00:00,-Inf
788,NA,6,UA,EWR,LAS,2242,2013-02-21 15:00:00,1.2
5793,111,103,EV,EWR,RIC,285,2013-04-26 13:00:00,0.927927927927928
3567,112,121, MQ ,LGA,CLT,550,2013-06-14 13:00:00,1.08035714285714
550,13,11,UA,EWR,CLE,397,2013-09-13 15:00:00,0.846153846153846
1637,11,4,UA,EWR,TPA,1053,2013-06-06 18:00:00,0.363636363636364
797,-6,-10,UA,JFK,LAX,2427,2013-10-07 06:00:00,1.66666666666667
1174,-14,-17,B6,EWR,BOS,162,2013-01-12 12:00:00,1.21428571428571
1729,53,40,B6,JFK,RSW,1121,2013-10-06 15:00:00,0.754716981132076
171,3,50,B6,JFK,SMF,2516,2013-01-13 18:00:00,16.6666666666667
2083,-7,-5,US,LGA,CLT,616,2013-09-23 12:00:00,0.714285714285714
1231,NA,NA, NA,LGA,DTW,NA,2013-10-30 14:00:00,2.18181818181818
1850,-5,-16,AA,JFK,BOS,122,2013-08-15 12:00:00,3.2
5222,103,85,EV,EWR,DTW,486,2013-10-17 09:00:00,0.825242718446602
347,33,38,FL ,LGA,ATL,850,2013-03-19 11:00:00,1.15151515151515
2595,-1,-21,DL,JFK,PDX,2484,2013-12-04 16:00:00,21
1033,-4,-32,AA,EWR,DFW,1389,2013-05-14 12:00:00,8
215,-4,4,UA,EWR,BOS,287,2013-11-12 09:00:00,-1
3567,10,-2,MQ,LGA,CLT,619,2013-10-28 13:00:00,-0.2
5168,-5,0, EV,LGA,GSO,533,2013-05-03 19:00:00,0
253,5,-16,UA,EWR,ORD,729,2013-06-19 14:00:00,-3.2
1519,NA,-13,UA,EWR,MCO,876,2013-07-08 11:00:00,-Inf
4475,NA,NA,MQ,LGA,RDU,451,2013-03-12 13:00:00,NA
4532,0,-8,EV,EWR,CHS,546,2013-03-07 07:00:00,-Inf
939,-5,-21,UA,EWR,TPA,938,2013-04-11 11:00:00,4.2
4610,-8,-4,MQ ,LGA,ATL,854,2013-03-26 08:00:00,0.5
5716,-8,NA,EV,JFK,IAD,278,2013-10-02 06:00:00,2.5
1205,-4,-25, AA,EWR,MIA,1024,2013-10-15 06:00:00,6.25
3759,-7,6,MQ,EWR,ORD,711,2013-10-22 07:00:00,-0.857142857142857
4295,145,150,EV,EWR,MCI,1039,2013-04-12 19:00:00,1.03448275862069
4258,NA,NA,EV,EWR,IAD,230,2013-03-06 19:00:00,NA
799,NA,29,NA,JFK,SFO,2561,2013-01-14 07:00:00,-29
1747,-6,-28,DL,LGA,ATL,766,2013-10-01 09:00:00,4.66666666666667
215,-1,-13,UA,EWR,BOS,162,2013-11-15 13:00:00,13
1107,1,-15,UA,EWR,BOS,187,2013-03-22 06:00:00,-15
5699,-2,-18, EV,LGA,IAD,207,2013-06-05 14:00:00,9
518,-5,-10,B6 ,JFK,BOS,NA,2013-08-19 10:00:00,2
1739,5,1,WN,EWR,PHX,2068,2013-04-04 13:00:00,0.2
2047,2,-10,DL,LGA,ATL,785,2013-07-10 07:00:00,-5
311,-2,-9,UA,EWR,DEN,1680,2013-06-15 06:00:00,4.5
86,-6,-12,B6,JFK,ROC,269,2013-09-03 17:00:00,2
2931,NA,NA,9E,JFK,PIT,337,2013-11-17 19:00:00,0.967509025270758
4553,-8,-11,MQ,LGA,CLE,468,2013-06-07 12:00:00,1.375
3938,0,-8, WN,LGA,STL,925,2013-05-16 06:00:00,-Inf
3267,0,-8,EV,EWR,ORF,273,2013-07-23 21:00:00,-Inf
486,-9,-17,B6,JFK,ROC,201,2013-09-25 22:00:00,1.88888888888889
5714,-11,-20,EV,JFK,IAD,305,2013-05-31 19:00:00,1.81818181818182
1247,3,11,DL ,LGA,ATL,664,2013-08-05 20:00:00,3.66666666666667
3638,115,134,9E,JFK,PHL,81,2013-02-12 13:00:00,1.16521739130435
1162,20,-26,UA,EWR,SAN,2369,2013-04-27 08:00:00,-1.3
85,-5,-55,AA,JFK,SFO,2649,2013-05-07 15:00:00,11
407,NA,-3, NA,JFK,LAX,2514,2013-04-21 09:00:00,3
181,-4,2,DL,LGA,DTW,568,2013-11-19 09:00:00,-0.5
935,-6,6,DL,EWR,ATL,805,2013-04-04 14:00:00,-1
401,-5,-10,DL,EWR,ATL,751,2013-04-09 11:00:00,2
4691,-4,12,EV,EWR,DAY,485,2013-09-16 08:00:00,-3
4580,1,NA,EV,EWR,MKE,682,2013-12-19 15:00:00,11
179,0,35,AA,JFK,SFO,2635,2013-11-16 10:00:00,Inf
1072,-8,-46,UA ,LGA,IAH,1464,2013-04-05 06:00:00,5.75
801,-4,-15, B6,JFK,FLL,1131,2013-02-10 20:00:00,3.75
2181,93,76,DL,LGA,MCO,1031,2013-08-01 15:00:00,0.817204301075269
1152,NA,-55,UA,EWR,PDX,NA,2013-05-06 18:00:00,-18.3333333333333
343,-1,-14,UA,LGA,DEN,1587,2013-12-26 06:00:00,14
288,-1,-35,UA,EWR,IAH,1482,2013-07-17 20:00:00,35
3070,7,7,MQ,JFK,TPA,925,2013-10-11 14:00:00,1
3608,-5,-11,9E,JFK,PHL,183,2013-05-05 09:00:00,2.2
323,-3,1,B6,JFK,LAX,2439,2013-07-28 12:00:00,-0.333333333333333
483,-5,-16, UA,EWR,FLL,984,2013-09-13 13:00:00,3.2
299,-8,6,B6,LGA,MCO,865,2013-11-07 17:00:00,-0.75
1371,7,-1,B6 ,LGA,FLL,1019,2013-09-15 21:00:00,-0.142857142857143
1853,-3,-1,AA,EWR,DFW,1444,2013-03-09 12:00:00,0.333333333333333
1854,NA,NA,NA,LGA,FLL,1083,2013-08-25 19:00:00,-2.83333333333333
1078,19,-3,WN,EWR,PHX,2104,2013-01-07 13:00:00,-0.157894736842105
303,NA,NA,UA,JFK,SFO,2625,2013-02-09 06:00:00,NA
1715,-5,-23,DL,LGA,MSY,1087,2013-01-10 19:00:00,4.6
4060,-13,-16, 9E,LGA,DAY,605,2013-12-26 09:00:00,1.23076923076923
5678,-8,-6,EV,EWR,CVG,559,2013-06-11 17:00:00,0.75
1164,14,61,DL,JFK,BOS,101,2013-07-23 14:00:00,4.35714285714286
80,27,1,UA,EWR,MIA,1164,2013-02-21 16:00:00,0.037037037037037
4335,-7,-7,EV,EWR,CMH,407,2013-10-21 12:00:00,1
1708,5,-22,UA ,EWR,SJU,1689,2013-03-05 13:00:00,-4.4
6,NA,9,DL,JFK,SLC,1982,2013-01-20 19:00:00,-1.5
1031,18,1,DL,LGA,DTW,561,2013-07-11 11:00:00,0.0555555555555556
415,6,9, VX,JFK,LAX,2388,2013-09-22 20:00:00,1.5
87,0,-12,DL,JFK,LAX,2492,2013-02-15 19:00:00,-Inf
691,56,49,UA,LGA,ORD,680,2013-09-13 17:00:00,0.875
3257,58,NA,MQ,LGA,RDU,NA,2013-12-20 20:00:00,0.862068965517241
2913,-2,-4,9E,JFK,DCA,170,2013-11-19 14:00:00,2
1734,-1,9,B6,JFK,BTV,256,2013-12-22 17:00:00,-9
1,16,-10,B6,JFK,FLL,1080,2013-03-07 11:00:00,-0.625
1626,-7,-37,UA,EWR,SAN,2344,2013-09-10 08:00:00,5.28571428571429
711,NA,-12, NA ,LGA,DFW,1325,2013-06-26 06:00:00,3
2138,-1,-25,US,LGA,BOS,194,2013-05-08 18:00:00,25
97,-5,-17,B6,JFK,DEN,1649,2013-09-10 21:00:00,3.4
337,-9,-8,AA,LGA,ORD,651,2013-10-18 14:00:00,0.888888888888889
4144,-8,7,EV,EWR,CHS,547,2013-10-20 15:00:00,-0.875
1103,-8,13,AA,LGA,DFW,1479,2013-11-12 06:00:00,-1.625
682,109,121,UA,EWR,IAH,1441,2013-08-09 21:00:00,1.11009174311927
1473,-4,-19,US,LGA,CLT,511,2013-07-05 18:00:00,4.75
2152,50,86, US,LGA,BOS,134,2013-09-13 15:00:00,1.72
29,120,100,VX,JFK,SFO,2539,2013-10-24 18:00:00,0.833333333333333
135,NA,NA,B6,JFK,PHX,2087,2013-07-22 20:00:00,3.02631578947368
2150,-9,-14,US ,LGA,BOS,238,2013-12-13 14:00:00,1.55555555555556
1638,5,-5,WN,EWR,PHX,2058,2013-05-02 13:00:00,-1
986,-2,-5,WN,LGA,MDW,693,2013-01-03 09:00:00,2.5
1436,-9,-9,UA,EWR,MCO,883,2013-05-21 08:00:00,1
711,-2,-29,AA,LGA,DFW,1451,2013-04-30 06:00:00,14.5
3765,1,-23, MQ,EWR,ORD,727,2013-05-08 13:00:00,-23
790,-2,-13,UA,LGA,IAH,1492,2013-05-31 07:00:00,6.5
27,45,70,VX,JFK,SFO,2588,2013-03-12 16:00:00,1.55555555555556
85,-1,-9,AA,JFK,SFO,2555,2013-05-29 15:00:00,9
3556,NA,-30,NA,LGA,DTW,NA,2013-09-18 17:00:00,5
537,-10,10,B6,EWR,TPA,977,2013-04-20 15:00:00,-1
1174,-10,-15,B6 ,EWR,BOS,240,2013-02-15 12:00:00,1.5
3367,-5,6,9E,JFK,CVG,636,2013-04-16 19:00:00,-1.2
2041,11,-2, DL,JFK,ATL,853,2013-08-11 19:00:00,-0.181818181818182
2602,-2,NA,B6,JFK,BUF,309,2013-12-02 10:00:00,6
1128,2,-30,UA,LGA,IAH,1385,2013-09-10 18:00:00,-15
4594,-8,-10,MQ,LGA,CLE,482,2013-01-05 11:00:00,1.25
439,-3,-20,UA,EWR,ORD,759,2013-08-31 15:00:00,6.66666666666667
1344,-8,-13,DL,LGA,MCI,1204,2013-02-12 14:00:00,1.625
1433,NA,-10,US,LGA,CLT,505,2013-07-12 06:00:00,3.33333333333333
493,40,75,WN,LGA,STL,939,2013-07-09 15:00:00,1.875
2279,-7,24, AA,LGA,MIA,1019,2013-10-23 07:00:00,-3.42857142857143
3828,33,36,EV ,EWR,ATL,698,2013-03-20 06:00:00,1.09090909090909
1107,-3,-2,UA,EWR,DEN,1702,2013-10-19 14:00:00,0.666666666666667
2179,-7,5,US,LGA,DCA,140,2013-12-09 12:00:00,-0.714285714285714
499,6,22,UA,EWR,FLL,1101,2013-02-22 08:00:00,3.66666666666667
4419,-3,-4,EV,EWR,XNA,1082,2013-08-16 08:00:00,1.33333333333333
5038,NA,NA,EV,LGA,BHM,816,2013-07-11 19:00:00,NA
132,13,15,UA,JFK,LAX,2398,2013-03-19 15:00:00,1.15384615384615
183,NA,NA, NA,EWR,SFO,2566,2013-08-29 07:00:00,6.5
1712,-2,-22,UA,EWR,IAH,1477,2013-03-13 17:00:00,11
353,-4,-21,FL,LGA,CAK,405,2013-08-26 10:00:00,5.25
4250,-3,-3,EV,EWR,IND,627,2013-04-01 06:00:00,1
4099,-7,-25,EV ,EWR,STL,826,2013-09-04 06:00:00,3.57142857142857
717,251,278,WN,EWR,HOU,NA,2013-05-08 17:00:00,1.10756972111554
411,-1,-25,VX,JFK,LAX,2401,2013-01-22 13:00:00,25
1935,-4,0,DL,LGA,TPA,957,2013-07-29 15:00:00,0
196,0,-18, US,JFK,PHX,2091,2013-07-19 10:00:00,-Inf
2267,-5,-29,AA,LGA,MIA,1068,2013-05-27 07:00:00,5.8
66,NA,-13,B6,JFK,BUF,214,2013-04-13 12:00:00,2.16666666666667
428,-1,5,WN,LGA,MKE,813,2013-06-18 06:00:00,-5
847,30,49,DL,LGA,ATL,708,2013-12-30 15:00:00,1.63333333333333
4175,61,93,EV,EWR,IAD,291,2013-06-27 14:00:00,1.52459016393443
507,-4,4,B6,EWR,FLL,1075,2013-02-06 06:00:00,-1
4327,20,NA,EV ,EWR,BOS,130,2013-03-24 16:00:00,0.3
124,-8,33, UA,EWR,FLL,1011,2013-03-24 18:00:00,-4.125
87,82,54,B6,JFK,SLC,1999,2013-03-30 19:00:00,0.658536585365854
1580,8,-28,UA,EWR,LAS,2224,2013-08-16 17:00:00,-3.5
3819,153,174,EV,EWR,ATL,816,2013-04-24 16:00:00,1.13725490196078
1125,NA,18,NA,EWR,CLT,588,2013-01-16 06:00:00,-2.57142857142857
2285,-3,-7,DL,LGA,MCO,963,2013-06-28 07:00:00,2.33333333333333
795,-7,-16,B6,JFK,AUS,1544,2013-10-26 09:00:00,2.28571428571429
2083,10,7,US,EWR,CLT,575,2013-12-04 10:00:00,0.7
1511,-5,-5, B6,EWR,RSW,1100,2013-07-19 08:00:00,1
4682,5,4,EV,EWR,SDF,646,2013-10-04 21:00:00,0.8
161,0,35,VX ,EWR,LAX,2469,2013-12-03 09:00:00,Inf
4361,6,-4,EV,EWR,TYS,606,2013-11-30 19:00:00,-0.666666666666667
5132,NA,NA,EV,LGA,SYR,240,2013-09-16 12:00:00,NA
27,-1,-13,VX,JFK,SFO,2654,2013-06-19 16:00:00,13
3257,NA,NA,EV,EWR,JAX,NA,2013-04-05 11:00:00,-1.42857142857143
1110,3,-16,UA,EWR,LAS,2202,2013-04-03 09:00:00,-5.33333333333333
3525,11,6, 9E,JFK,ORD,753,2013-04-12 19:00:00,0.545454545454545
1271,-6,3,DL,JFK,FLL,1112,2013-04-03 08:00:00,-0.5
685,19,35,UA,LGA,ORD,769,2013-10-23 15:00:00,1.84210526315789
17,-2,-30,US,JFK,PHX,2065,2013-07-06 16:00:00,15
2370,17,-2,DL,LGA,PBI,1074,2013-01-30 19:00:00,-0.117647058823529
867,37,15,DL ,JFK,BOS,244,2013-07-24 09:00:00,0.405405405405405
4682,113,114,EV,EWR,SDF,604,2013-10-07 21:00:00,1.00884955752212
4607,-7,-27,MQ,LGA,CMH,465,2013-05-29 08:00:00,3.85714285714286
1895,NA,18, NA,EWR,MIA,1097,2013-08-13 06:00:00,18
580,38,25,WN,EWR,HOU,1341,2013-07-11 17:00:00,0.657894736842105
1554,-1,-22,UA,EWR,FLL,1043,2013-11-17 14:00:00,22
1585,-5,17,DL,LGA,MCO,922,2013-03-21 17:00:00,-3.4
3489,0,-21,9E,LGA,RSW,1086,2013-11-30 08:00:00,-Inf
3489,35,NA,9E,LGA,RSW,1164,2013-10-21 08:00:00,0.628571428571429
3357,-3,-2,MQ,LGA,ATL,700,2013-08-16 16:00:00,0.666666666666667
1099,-8,-8,B6,LGA,MCO,993,2013-08-27 06:00:00,1
393,9,5, B6 ,LGA,MCO,939,2013-03-20 14:00:00,0.555555555555556
1109,-7,-31,UA,EWR,MCO,1004,2013-11-16 17:00:00,4.42857142857143
3969,NA,NA,9E,JFK,BWI,134,2013-07-23 14:00:00,NA
1433,-3,4,US,LGA,CLT,506,2013-03-20 06:00:00,-1.33333333333333
2019,-1,-32,DL,LGA,MSP,1098,2013-02-15 18:00:00,32
1491,0,-2,B6,JFK,ACK,187,2013-06-26 08:00:00,-Inf
172,-1,-33,WN,LGA,MKE,731,2013-08-20 09:00:00,33
3353,149,123,9E,JFK,DTW,NA,2013-04-12 07:00:00,0.825503355704698
2197,-9,-10, US,LGA,DCA,238,2013-08-06 21:00:00,1.11111111111111
157,-2,20,B6,JFK,MCO,967,2013-01-06 16:00:00,-10
2319,-7,2,DL,LGA,MSP,1042,2013-04-15 10:00:00,-0.285714285714286
1711,-3,-36,AA ,JFK,ORD,658,2013-08-21 17:00:00,12
2247,NA,NA,NA,LGA,ATL,663,2013-08-09 13:00:00,-9.66666666666667
543,30,39,UA,EWR,SFO,2510,2013-07-29 20:00:00,1.3
1043,-2,58,DL,JFK,SEA,2370,2013-05-10 15:00:00,-29
4127,37,13,9E,JFK,IAD,177,2013-07-17 20:00:00,0.351351351351351
301,-1,2, B6,JFK,FLL,1007,2013-12-09 14:00:00,-2
687,-5,23,US,EWR,CLT,585,2013-10-24 17:00:00,-4.6
1,0,-17,AA,JFK,LAX,2380,2013-03-20 09:00:00,-Inf
695,67,34,AA,JFK,AUS,1505,2013-08-22 17:00:00,0.507462686567164
257,-7,-20,UA,JFK,SFO,2496,2013-03-14 14:00:00,2.85714285714286
3768,-3,-6,MQ,EWR,ORD,619,2013-06-03 06:00:00,2
15,NA,-18,AS ,EWR,SEA,2389,2013-11-29 07:00:00,4.5
841,-4,-17,UA,JFK,LAX,2530,2013-10-14 14:00:00,4.25
2900,17,64, 9E,JFK,BNA,811,2013-12-29 15:00:00,3.76470588235294
75,-5,-47,US,EWR,PHX,2199,2013-01-04 10:00:00,9.4
42,-2,-15,WN,LGA,HOU,1454,2013-09-09 12:00:00,7.5
327,5,NA,AA,LGA,ORD,773,2013-10-07 11:00:00,-0.8
4202,-4,-25,EV,EWR,STL,857,2013-09-09 17:00:00,6.25
1180,-3,-16,B6,EWR,BOS,181,2013-06-06 14:00:00,5.33333333333333
1224,161,127,UA,EWR,LAX,2497,2013-06-24 20:00:00,0.788819875776398
1109,-6,-15,B6,JFK,RDU,497,2013-05-15 21:00:00,2.5
1185,NA,-9, NA,JFK,RDU,NA,2013-03-26 17:00:00,-1.8
1415,-3,6,DL ,JFK,SLC,1893,2013-11-27 07:00:00,-2
80,30,10,UA,EWR,MIA,1150,2013-03-29 17:00:00,0.333333333333333
4323,120,94,MQ,JFK,ORF,274,2013-03-01 17:00:00,0.783333333333333
500,-5,-22,UA,EWR,LAX,2402,2013-04-10 11:00:00,4.4
268,1,-19,UA,LGA,DEN,1626,2013-02-20 06:00:00,-19
4333,-2,10,MQ,JFK,PIT,342,2013-06-07 15:00:00,-5
4577,7,-3,MQ,LGA,CLT,509,2013-02-17 13:00:00,-0.428571428571429
1186,-2,-13, UA,EWR,MIA,1131,2013-06-08 12:00:00,6.5
86,-7,-18,B6,JFK,ROC,332,2013-10-01 17:00:00,2.57142857142857
116,NA,NA,B6,JFK,SYR,141,2013-08-05 09:00:00,0.6
1178,-8,-21,B6,EWR,BOS,110,2013-06-05 20:00:00,2.625
1626,-2,-26,UA ,EWR,SAN,2409,2013-12-02 08:00:00,13
456,0,-2,UA,EWR,FLL,966,2013-10-24 09:00:00,-Inf
688,24,53,US,EWR,PHX,2178,2013-06-30 13:00:00,2.20833333333333
333,-7,-20,AA,LGA,ORD,669,2013-09-01 14:00:00,2.85714285714286
2231,-8,-17, DL,LGA,DTW,415,2013-10-04 16:00:00,2.125
1935,-1,-41,DL,LGA,TPA,1035,2013-02-17 15:00:00,41
1947,-3,14,DL,LGA,ATL,856,2013-08-12 12:00:00,-4.66666666666667
1648,-2,-8,DL,LGA,FLL,1087,2013-12-31 12:00:00,4
371,NA,NA,NA,LGA,ORD,804,2013-02-26 20:00:00,NA
3805,-2,97,EV,EWR,DTW,584,2013-05-23 12:00:00,-48.5
854,0,-13,AA,JFK,BOS,184,2013-05-03 16:00:00,-Inf
4294,-4,-10,EV ,EWR,SAV,764,2013-06-07 16:00:00,2.5
1073,-4,-25, AA,LGA,MIA,1067,2013-02-20 13:00:00,6.25
1719,40,NA,UA,LGA,CLE,NA,2013-05-24 15:00:00,0.225
1663,3,-9,UA,EWR,SFO,2537,2013-09-26 13:00:00,-3
711,140,134,B6,JFK,LAS,2301,2013-10-04 18:00:00,0.957142857142857
499,245,272,B6,LGA,MCO,1038,2013-09-12 21:00:00,1.11020408163265
149,63,54,WN,EWR,MDW,797,2013-04-18 12:00:00,0.857142857142857
602,NA,-10,UA,LGA,DEN,1614,2013-04-06 06:00:00,3.33333333333333
2370,-1,5,DL,LGA,PBI,1061,2013-06-06 18:00:00,-5
3817,13,34, EV,EWR,JAX,775,2013-01-06 15:00:00,2.61538461538462
73,-1,-20,DL,JFK,ATL,839,2013-05-15 19:00:00,20
2120,-10,-18,US ,LGA,BOS,161,2013-06-21 09:00:00,1.8
4415,-6,9,MQ,LGA,RDU,334,2013-01-17 16:00:00,-1.5
5676,-5,-15,EV,EWR,MSP,1040,2013-04-21 17:00:00,3
168,24,0,WN,LGA,MDW,729,2013-12-15 20:00:00,0
575,16,36,B6,JFK,MSY,1242,2013-10-26 14:00:00,2.25
4301,42,21,EV,EWR,CLT,599,2013-06-15 13:00:00,0.5
3351,NA,NA, NA,LGA,DTW,446,2013-06-21 06:00:00,0.75
1902,-5,-7,DL,LGA,PBI,1114,2013-02-23 14:00:00,1.4
4491,12,18,MQ,LGA,CLE,382,2013-01-01 14:00:00,1.5
3526,101,92,MQ,LGA,CMH,433,2013-07-08 18:00:00,0.910891089108911
359,-12,-16,AA,LGA,ORD,647,2013-11-01 18:00:00,1.33333333333333
257,4,-14,UA ,JFK,SFO,2492,2013-03-11 14:00:00,-3.5
4178,-12,-19,9E,JFK,ROC,200,2013-04-14 15:00:00,1.58333333333333
161,-3,-10,VX,EWR,LAX,2449,2013-08-17 09:00:00,3.33333333333333
930,-6,-7, DL,LGA,FLL,1111,2013-01-19 11:00:00,1.16666666666667
